Welcome to the profile statistics browser.
profiling/profiling.data% profiling/profiling.data% Mon Jan  7 17:29:53 2019    profiling/profiling.data

         430080 function calls (421447 primitive calls) in 115.482 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    61/11    0.000    0.000    0.004    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:3247(leaveWhitespace)
      512    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/html/entities.py:1(<module>)
      110    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.023    0.023 /usr/lib/python3.6/site-packages/pyparsing.py:61(<module>)
        1    0.000    0.000    0.589    0.589 /usr/lib/python3.6/site-packages/networkx/__init__.py:54(<module>)
       94    0.000    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:70(__setitem__)
      116    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:223(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
      471    0.000    0.000    0.000    0.000 /usr/lib/python3.6/copyreg.py:87(__newobj__)
       64    0.000    0.000    0.002    0.000 tsp/state.py:72(print_state)
        1    0.000    0.000    0.001    0.001 tsp/state.py:112(print_solution)
     1701    0.000    0.000    0.000    0.000 /usr/lib/python3.6/inspect.py:2487(default)
       82    0.000    0.000    0.001    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:3678(__init__)
      116    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      116    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:828(fix_flags)
   131/65    0.000    0.000    0.004    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:3322(copy)
       39    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/compat/_inspect.py:142(formatargspec)
       84    0.000    0.000    0.001    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:3349(__init__)
      150    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:2494(key)
      209    0.000    0.000    0.022    0.000 /usr/lib/python3.6/site-packages/networkx/utils/decorators.py:29(not_implemented_for)
       17    0.000    0.000    0.000    0.000 {built-in method posix.close}
      376    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/packaging/version.py:207(<genexpr>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/site-packages/numpy/core/getlimits.py:3(<module>)
      128    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:351(__setattr__)
       51    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       41    0.000    0.000    0.000    0.000 /usr/lib/python3.6/threading.py:334(notify)
      719    0.000    0.000    0.001    0.000 {built-in method builtins.next}
       59    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_compile.py:376(_mk_bitmap)
        1    0.000    0.000    0.112    0.112 /usr/lib/python3.6/site-packages/numpy/lib/__init__.py:1(<module>)
       53    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/ma/core.py:893(__init__)
       67    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:266(getuntil)
        6    0.000    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:623(<listcomp>)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1310(<setcomp>)
      118    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:757(add)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/site-packages/numpy/lib/npyio.py:1(<module>)
       42    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
       13    0.000    0.000    0.003    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:2612(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
   131/65    0.000    0.000    0.003    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:3324(<listcomp>)
      335    0.000    0.000    0.000    0.000 /usr/lib/python3.6/inspect.py:73(isclass)
       76    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.array}
     1094    0.000    0.000    0.000    0.000 /usr/lib/python3.6/inspect.py:2495(kind)
